商品名称,店铺,评论数,价格
Apple iPhone 12 (A2404) 128GB 白色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,60万+,6799.00
Apple iPhone 12 Pro Max (A2412) 256GB 海蓝色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,20万+,10099.00
Apple 苹果 iPhone 12 5G手机 黑色 全网通 128GB,佳沪电商旗舰店,1万+,6458.00
Apple iPhone 12 Pro (A2408) 128GB 海蓝色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,10万+,8499.00
【赠卡首月免月租】Apple iPhone 12 (A2404) 64GB 黑色 支持移动联通电信5G 双卡双待手机,中国移动终端京东自营旗舰店,6万+,6299.00
Apple 20W USB-C手机充电器插头 充电头 适配器适用iPhone 12 iPad 快速充电,Apple产品京东自营旗舰店,100万+,149.00
Apple 苹果 iPhone 12 mini 5G手机 黑色 全网通 128GB,佳沪电商旗舰店,2000+,5699.00
【京选推荐】图拉斯 苹果12手机壳iPhone 12全包防摔透明超薄硅胶保护壳镜头全包男女手机套软壳 官方定制-专利防摔条设计,图拉斯旗舰店,4万+,58.00
Apple 苹果 iPhone 12 5G手机 白色 全网通 128GB,佳沪电商旗舰店,1万+,6489.00
"京东超市
绿联 MFi认证 苹果数据线 通用iPhone12/11Pro/XsMax/XR/X/SE2/8/7/6/ipad手机快充充电器线USB电源线1米",绿联京东自营旗舰店,100万+,39.90
Apple iPhone 12 (A2404) 128GB 白色 支持移动联通电信5G 双卡双待手机,中国移动官方旗舰店,3万+,6599.00
【赠卡首月免月租】Apple iPhone 12 Pro Max (A2412) 128GB 海蓝色 支持移动联通电信5G 双卡双待手机,中国移动终端京东自营旗舰店,2万+,9299.00
【直降200】Apple 苹果 iPhone12 双卡双待5G手机 绿色 【全网通】64GB,天翼电信旗舰店,300+,6159.00
Apple 苹果 iPhone 12 5G手机 黑色 全网通128GB【碎屏险套装】,明日数码旗舰店,8000+,6439.00
倍思 【贴坏包赔】苹果12/12 Pro钢化膜 iphone12/12Pro超瓷晶手机膜 防爆防指纹高清全覆盖贴膜前膜2片装,倍思（Baseus）京东自营旗舰店,2万+,39.80
Apple iPhone 12 mini (A2400) 128GB 白色 手机 支持移动联通电信5G,Apple产品京东自营旗舰店,6万+,5999.00
