商品名称,地址,介绍,标签,总价（万元）,每平米价格（元）
日光里 2室1厅 南 北,日光里 - 鸿顺里街,2室1厅 | 69.44平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",150,21602
华宁南里 2室2厅 东 西,华宁南里 - 王顶堤,2室2厅 | 102.01平米 | 东 西 | 精装 | 中楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",223,21861
英伦花园三室两厅一厨一卫南北通透无遮挡好楼层,英伦花园 - 大王古镇,3室2厅 | 107.68平米 | 南 北 | 毛坯 | 低楼层(共20层)  | 板楼,"VR看装修,房本满五年,随时看房",87,8080
保利楼盘 品质社区，精装从未住过人,保利罗兰公馆 - 张家窝,3室1厅 | 105.31平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满两年,随时看房",216,20511
龙博花园 带露台 带阁楼 满五年 看房方便,龙博花园 - 小海地,2室1厅 | 79.26平米 | 南 北 西 | 精装 | 高楼层(共6层)  | 板楼,"VR房源,房本满五年,随时看房",193,24351
模范小区 配套齐全  环境好 业主诚意出售,远翠西里 - 万新村,3室1厅 | 70平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",163,23286
艳泉里三楼精装修，看房方便有钥匙,艳泉里 - 王串场,2室1厅 | 60.69平米 | 东 西 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满两年,随时看房",155,25540
格调春天小洋房，次顶层 ，采光好无遮挡,格调春天花园 - 广开街,3室2厅 | 151.23平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,"近地铁,VR房源,房本满两年,随时看房",880,58190
屏花里  阳面1室  公产可买产权 采光好房主诚意出售,屏花里 - 王串场,1室1厅 | 25.7平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",62,24125
万科魅力之城 首房首 选 精装两室 140万可议价,万科魅力之城格兰苑 - 新立街,2室1厅 | 69.3平米 | 南 | 精装 | 中楼层(共10层)  | 板楼,"VR看装修,房本满两年,随时看房",138,19914
合力园楼层好精装修，业主诚心出售,富力又一城 - 咸水沽,3室2厅 | 113.91平米 | 南 北 | 精装 | 33层  | 板塔结合,"VR看装修,房本满两年,随时看房",175,15364
紫云园大三居室 毛坯， 南北通透  视野好 看房方便,紫云园 - 新港,3室1厅 | 133.37平米 | 南 北 | 简装 | 高楼层(共28层)  | 板楼,"VR看装修,房本满五年",230,17246
鑫海东苑 满五唯一 无户口 全天采光 随时看房,鑫海东苑 - 蓟州城区,3室2厅 | 104.4平米 | 南 北 | 简装 | 中楼层(共6层)  | 塔楼,"VR看装修,房本满五年",138,13219
二次精装南北通透三居室 诚心出售,红树湾花园 - 中新生态城,3室1厅 | 97.32平米 | 南 北 | 精装 | 高楼层(共25层)  | 板塔结合,"VR看装修,房本满五年",185,19010
水木天成 经典跃层 有露台 出行便利,水木天成阁林园 - 西沽街,3室2厅 | 124.96平米 | 西南 北 | 精装 | 高楼层(共7层)  | 板楼,"VR房源,房本满五年",228,18246
古芳里 3室1厅 南 西,古芳里 - 陈塘庄,3室1厅 | 79.74平米 | 南 西 | 简装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年",208,26085
四季馨园 视野开阔 采光较好 交通便利,四季馨园 - 陈塘庄,3室1厅 | 120.69平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年",328,27178
龙湾城，满五唯一，南北通透三居室,龙吉园 - 下朱庄,3室1厅 | 105.18平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,"VR看装修,房本满五年,随时看房",138,13121
满五唯一，中楼层采光视野好，配套齐全，交通便利,富瀛洲花园 - 建昌道,2室1厅 | 91.05平米 | 南 | 简装 | 中楼层(共24层)  | 塔楼,"近地铁,VR看装修,房本满五年,随时看房",170,18672
经典三室，采光充足，交通便利，配套齐全，品质住宅,恬园别墅 - 第三大街,3室2厅 | 138.04平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",240,17387
带车位，中间位置，视野好，没有大税,大唐印象唐雅苑 - 华明镇,3室2厅 | 92.57平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,"VR房源,房本满两年,随时看房",139,15016
海清园三室跨厅采光好，位置佳，看房方便,经纬海清园 - 大港,3室2厅 | 128.18平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 暂无数据,"VR看装修,房本满两年,随时看房",155,12093
南开天拖CBD 业主急售 价格可谈,融创中心 - 王顶堤,2室1厅 | 55.67平米 | 北 | 精装 | 高楼层(共20层)  | 板塔结合,"VR房源,房本满两年,随时看房",155,27843
翠亨村三室房源，满五唯一，看房方便,翠亨村A区 - 第三大街,3室2厅 | 124.9平米 | 东 西 | 精装 | 28层  | 塔楼,"VR看装修,房本满五年,随时看房",261,20897
品质小区 夏可赏花 东可望雪！！！,万科四季文园 - 张家窝,3室1厅 | 115.99平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,"VR看装修,房本满两年,随时看房",193.1,16648
白鹭湾洋房通透户型，采光视野好，看房有钥匙价格可议,白鹭湾花园 - 潮阳大道,2室1厅 | 98.57平米 | 南 | 毛坯 | 5层  | 板楼,"VR看装修,房本满五年,随时看房",118,11972
龙湾城洋房顶楼带阁楼小三室低总价,亿雅园 - 下朱庄,3室1厅 | 89.87平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板楼,"VR房源,房本满两年,随时看房",127.5,14188
天津碧桂园 2室1厅 南,天津碧桂园 - 八里台,2室1厅 | 110.41平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,"VR看装修,房本满五年,随时看房",90,8152
海河教育园区，融创物业，楼层好采光充足，房子有车位,融创中央学府 - 咸水沽,3室2厅 | 119.63平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 塔楼,"VR看装修,房本满两年,随时看房",204,17053
心之筑汇颐花园 2室1厅 南 北,心之筑汇颐花园 - 李七庄,2室1厅 | 101.17平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",229,22636
试验楼 2室1厅 南 北,试验楼 - 中山门街,2室1厅 | 74.35平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满两年,随时看房",151,20310
满二，楼层视野宽阔，配套设施齐全，交通便利，D铁口,普明南里 - 咸水沽,2室1厅 | 82.57平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满两年,随时看房",80,9689
柴楼隆园  精装大一室  中间楼层  过五唯一看房方便,柴楼隆园 - 双街,1室2厅 | 74.33平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,"VR看装修,房本满五年,随时看房",105,14127
万科精装修两室楼层好，满五唯一，诚心出售,万科四季雅园 - 张家窝,2室1厅 | 79.45平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,"VR看装修,房本满五年,随时看房",157,19761
建安里 五楼不顶 精装修 户型方正 产权清晰 诚心出售,建安里 - 大港,1室1厅 | 39.89平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满两年,随时看房",37.9,9502
中间楼层，楼龄新，户型方正，无遮挡，采光好，视野好,大园新居 - 向阳路,1室1厅 | 61.12平米 | 南 | 简装 | 中楼层(共28层)  | 塔楼,"VR看装修,房本满五年,随时看房",155,25360
70年住宅 婚房精装小高层 地铁3、6号线 采光无遮挡,诺城花园 - 鸿顺里街,3室2厅 | 92.35平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",335,36276
地采暖    楼间距大    居住舒适,荔丰花园 - 宜兴埠,2室1厅 | 77.51平米 | 南 北 | 精装 | 中楼层(共9层)  | 板塔结合,"近地铁,VR看装修,房本满五年,随时看房",135,17418
师北里 3室1厅 南 北,师北里 - 万兴街,3室1厅 | 88.27平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,"VR看装修,房本满五年,随时看房",325,36819
Xi缺三室，过五年没有大税，业主诚意出售。,通达新苑 - 江都路,3室1厅 | 94.2平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板塔结合,"VR看装修,房本满五年,随时看房",188,19958
小区安静 两梯三户 低密度 前排没遮挡,富顿大厦 - 南市,3室2厅 | 147.84平米 | 南 北 | 简装 | 高楼层(共26层)  | 板楼,"VR看装修,房本满五年,随时看房",720,48702
建新东里南区两室 通透户型 三楼 看房有钥匙,建新东里 - 二号桥街,2室1厅 | 70.67平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"VR房源,房本满五年,随时看房",115,16273
